Model,Publication date,Organization,Domain,Task,log_parameters
Amazon Nova Lite,2024-12-03,Amazon,"Multimodal,Language,Video,Vision","Language modeling/generation,Retrieval-augmented generation,Visual question answering,Image captioning,Video description,Character recognition (OCR),Code generation,Translation",
Amazon Nova Micro,2024-12-03,Amazon,Language,"Language modeling/generation,Retrieval-augmented generation,Question answering,Code generation",
Luma Photon,2024-12-03,LumaLabs,"Image generation,Vision","Image generation,Text-to-image",
Hunyuan Video,2024-12-03,Tencent,Video,"Video generation,Text-to-video",10.113943352306837
Intelligent Go-Explore (IGE),2024-12-03,"University of British Columbia (UBC),Vector Institute,CIFAR AI Research",Games,Game of 24 (24 puzzle),
Hailuo I2V-01-Live,2024-12-03,"MiniMax,Hailuo AI","Video,Vision","Video generation,Image-to-video",
Amazon Nova Canvas,2024-12-03,Amazon,"Image generation,Vision","Image generation,Text-to-image",
Luma Photon Flash,2024-12-03,LumaLabs,"Image generation,Vision","Image generation,Text-to-image",
Poolside Malibu,2024-12-02,Poolside,Language,Code generation,
RNAformer,2024-12-01,University of Freiburg,Biology,RNA structure prediction,7.505149978319906
INTELLECT-1,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",Language,Unknown,10.0
360gpt2-pro,2024-11-29,360 Security Technology,Language,Language modeling,
abab7,2024-11-29,MiniMax,Language,Language modeling/generation,
Zhiyan (智言),2024-11-29,4Paradigm,Unknown,Unknown,
Mingzhi Guwen,2024-11-29,"Shanghai Shuheng Information Technology Co., Ltd.",Language,"Chat,Text summarization,Translation,Language modeling/generation",
MiLi (米粒),2024-11-29,CreditEase,Language,"Chat,Language generation",
HaiYue (浪潮通用软件有限公司),2024-11-29,Inspur,Language,"Financial management,Data analytics,Search,Text summarization",11.008600171761918
DeepThought-8B,2024-11-27,Ruliad,Language,Chat,9.903089986991944
Ovis1.6-Gemma2-27B,2024-11-26,Alibaba,"Multimodal,Language,Vision","Language modeling/generation,Visual question answering",10.460897842756548
ControlNet (SD 3.5 Large) Depth,2024-11-26,Stability AI,Image generation,"Image-to-image,Image generation",
ControlNet (SD 3.5 Large) Blur,2024-11-26,Stability AI,Image generation,"Image-to-image,Image generation",
ControlNet (SD 3.5 Large) Canny,2024-11-26,Stability AI,Image generation,"Image-to-image,Image generation",
Fugatto 1,2024-11-25,NVIDIA,"Multimodal,Language,Audio",Audio generation,9.397940008672037
ConfRank,2024-11-24,"University of Bonn,Institute for Numerical Simulation,Fraunhofer Institute for Algorithms and Scientific Computing",Biology,Drug discovery,5.176091259055681
Fish-Speech 1.5,2024-11-24,Fish Audio,Speech,"Speech synthesis,Text-to-speech (TTS)",
Hymba,2024-11-22,NVIDIA,Language,"Language modeling/generation,Question answering",9.176091259055681
Tulu 3 (Tülu 3) 70B,2024-11-21,"Allen Institute for AI,University of Washington",Language,"Language modeling/generation,Protein question answering,Question answering",10.845098040014257
Gauss2,2024-11-21,Samsung,"Multimodal,Language,Vision","Language modeling/generation,Question answering,Code generation,Visual question answering",
Tulu 3 8B,2024-11-21,"Allen Institute for AI,University of Washington",Language,"Language modeling/generation,Question answering",9.903089986991944
Tulu 3 (Tülu 3) 70B,2024-11-21,Unknown,Unknown,Unknown,10.845098040014257
DeepSeek-R1-Lite-Preview,2024-11-20,DeepSeek,Language,Language modeling/generation,
GPT-4o (Nov 2024),2024-11-20,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",
Suno v4,2024-11-19,Suno,Audio,Audio generation,
Boltz-1,2024-11-19,"Massachusetts Institute of Technology (MIT), Genesis Therapeutics",Biology,"Protein folding prediction,Protein-ligand contact prediction,Protein interaction prediction,Protein structure comparison",
Pixtral Large,2024-11-18,Mistral AI,"Multimodal,Language,Vision","Vision-language generation,Visual question answering,Mathematical reasoning,Character recognition (OCR),Language modeling/generation,Question answering",11.093421685162236
360Zhinao2-7B,2024-11-18,360 Security Technology,Language,"Question answering,Language modeling/generation,Code generation,Quantitative reasoning",9.845098040014257
BiRNA-BERT,2024-11-18,"Bangladesh University of Engineering and Technology,University of California Riverside,Carnegie Mellon University (CMU)",Biology,"Protein or nucleotide language model (pLM/nLM),Entity embedding",8.068185861746162
SK Telecom Telco,2024-11-18,SK Telecom,"Language,Multimodal,Vision","Chat,Search,Language modeling/generation,Question answering,Visual question answering",
k0-math,2024-11-16,Moonshot,"Mathematics,Language","Mathematical reasoning,Quantitative reasoning",
Gemini-Exp-1114,2024-11-15,Google DeepMind,Language,Language modeling,
FaXin,2024-11-15,Unknown,Unknown,Unknown,11.0
LLaVA-CoT,2024-11-15,"Peking University,Tsinghua University,Peng Cheng Laboratory,Alibaba DAMO Academy,Lehigh University","Language,Vision,Multimodal","Visual question answering,Language modeling/generation,Quantitative reasoning",10.041392685158225
bailing-pro-1120,2024-11-15,Ant Group,Language,"Language modeling/generation,Question answering",
Qwen2.5-Turbo,2024-11-15,Alibaba,Language,"Language modeling/generation,Code generation,Question answering,Translation,Quantitative reasoning",
Mistral Large 2.1,2024-11-15,Mistral AI,Language,"Language modeling/generation,Translation,Code generation,Question answering,Retrieval-augmented generation",11.089905111439398
Athene-V2,2024-11-14,Nexusflow,Language,"Language modeling/generation,Quantitative reasoning,Question answering",10.857332496431269
Gemma2 9B CPT Sahabat-AI,2024-11-14,"Indosat,Tech Mahindra,AI Singapore,GoTo",Language,"Language modeling/generation,Question answering",9.954242509439325
Vidu 1.5,2024-11-13,ShengShu,"Video,Vision","Video generation,Text-to-video,Image-to-video",
Qwen2.5-Coder (32B),2024-11-12,Alibaba,Language,"Language modeling/generation,Code generation",10.511883360978874
MassiveFold,2024-11-11,"Université de Lille,Linköping University,Universite de Technologie de Compiègne – CNRS",Biology,Protein folding prediction,
SeedEdit,2024-11-11,ByteDance,Vision,Image generation,
NatureLM-audio,2024-11-11,Earth Species Project,Audio,Audio classification,8.822821645303105
stFormer,2024-11-09,"Shanghai Jiao Tong University,Chinese Academy of Sciences",Biology,Spatial Transcriptomics,
Community Research Earth Digital Intelligence Twin (CREDIT),2024-11-09,Unknown,Unknown,Unknown,
Fish-Speech 1.4,2024-11-09,Fish Audio,Speech,"Speech synthesis,Text-to-speech (TTS)",
TeleChat2-7B,2024-11-08,China Telecom,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation",9.845098040014257
TeleChat2-3B,2024-11-08,China Telecom,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation",9.477121254719663
Mistral Moderation,2024-11-07,Mistral AI,Language,Text classification,
Hunyuan-Large,2024-11-06,Tencent,Language,"Language modeling/generation,Question answering,Code generation,Translation",11.589949601325708
FLUX1.1 [pro] Ultra,2024-11-06,Black Forest Labs,Image generation,"Image generation,Text-to-image",
FLUX1.1 [pro] Raw,2024-11-06,Black Forest Labs,Image generation,"Image generation,Text-to-image",
OpenPhenom-S/16,2024-11-05,Recursion Pharmaceuticals,"Biology,Vision",Image embedding,8.250531167467727
Llama-3.1-Minitron-4B,2024-11-04,NVIDIA,Language,"Language modeling/generation,Chat,Question answering",9.602059991327963
Minitron 8B,2024-11-04,NVIDIA,Language,"Language modeling/generation,Chat,Question answering",9.919078092376074
Minitron 4B,2024-11-04,NVIDIA,Language,"Language modeling/generation,Chat,Question answering",9.6232492903979
KwooVa,2024-11-02,Harbin Institute of Technology,Vision,"Data analytics,Miscellaneous image analysis",9.903089986991944
KwooLa,2024-11-02,Harbin Institute of Technology,Language,"Chat,Question answering",10.146128035678238
KwooGr,2024-11-02,Harbin Institute of Technology,Unknown,Unknown,
FvFold,2024-11-01,Jeonbuk National University,Biology,Protein folding prediction,6.964249633292415
Uni-Med,2024-11-01,"Tsinghua University,Beijing University of Posts and Telecommunications",Unknown,Unknown,9.94448267215017
SimPO,2024-11-01,"Princeton University,University of Virginia",Language,"Language modeling/generation,Question answering",9.954242509439325
π0 (pi-zero),2024-10-31,Physical Intelligence,"Robotics,Vision",Robotic manipulation,9.518513939877888
Aha (大模型),2024-10-31,"Shanghai Xingzhi Technology Co., Ltd.",Multimodal,"Text-to-image,Text-to-video,Text-to-speech (TTS)",
VASA-1,2024-10-31,Microsoft Research Asia,"Video,Audio",Video generation,8.359835482339887
AstroOne,2024-10-30,Zhijiang Lab,Astronomy,Unknown,10.845098040014257
aiXcoder-7B Base,2024-10-30,Peking University,Language,Code autocompletion,9.845098040014257
Recraft V3,2024-10-30,Recraft,Image generation,"Image generation,Text-to-image",
Universal-2-TF,2024-10-30,AssemblyAI,Speech,Speech recognition (ASR),8.778151250383644
Super XiaoAI,2024-10-29,Unknown,Unknown,Unknown,
Haiper 2.0,2024-10-29,Haiper,Image generation,"Image generation,Text-to-image",
Stable Diffusion 3.5 Medium,2024-10-29,Stability AI,Image generation,"Image generation,Text-to-image",9.397940008672037
Pro-PRIME,2024-10-28,"Shanghai Jiao Tong University,Shanghai AI Lab,East China University of Science and Technology,Shanghai Tech University,Guangzhou Inernational Bio Island,Chinese Academy of Sciences,Shanghai Academy of Experimental Medicine",Biology,Protein design,8.812913356642856
Doubao-pro,2024-10-28,ByteDance,Language,"Language modeling/generation,Question answering,Text summarization,Text classification",11.698970004336019
Aya Expanse 32B,2024-10-24,Cohere for AI,Language,"Language modeling/generation,Translation",10.509202522331103
Aya Expanse 8B,2024-10-24,Cohere for AI,Language,"Language modeling/generation,Translation",9.903089986991944
Bielik 7B,2024-10-24,"SpeakLeash,Cyfronet AGH",Language,"Language modeling/generation,Question answering",9.845098040014257
GigaChat MAX,2024-10-24,Sber,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Chat,Visual question answering,Character recognition (OCR)",
YandexGPT 4 Pro,2024-10-24,Yandex,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Retrieval-augmented generation",
YandexGPT 4 Lite,2024-10-24,Yandex,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Retrieval-augmented generation",
YOLOv11,2024-10-23,Huddersfield University,Vision,Object detection,
Mochi 1,2024-10-22,Genmo,Video,"Video generation,Text-to-video",10.0
NVLM-D 72B,2024-10-22,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",10.857332496431269
NVLM-H 72B,2024-10-22,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",10.857332496431269
NVLM-X 72B,2024-10-22,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",10.857332496431269
Claude 3.5 Haiku,2024-10-22,Anthropic,Language,"Chat,Code generation,Language modeling/generation,Question answering",
Stable Diffusion 3.5 Large,2024-10-22,Stability AI,Image generation,"Image generation,Text-to-image",9.90848501887865
Stable Diffusion 3.5 Large Turbo,2024-10-22,Stability AI,Image generation,"Image generation,Text-to-image",
LongVU,2024-10-22,"Meta AI,King Abdullah University of Science and Technology (KAUST),Korea University","Multimodal,Video,Language","Video compression,Video,Language modeling/generation,Video description",9.845098040014257
Granite 3.0 8B,2024-10-21,IBM,Language,"Language modeling/generation,Question answering,Translation,Text summarization,Text classification,Code generation",9.90848501887865
Granite 3.0 2B,2024-10-21,IBM,Language,"Language modeling/generation,Question answering,Translation,Text summarization,Text classification,Code generation",9.397940008672037
Emu3,2024-10-21,Beijing Academy of Artificial Intelligence / BAAI,"Video,Multimodal,Image generation,Vision,Language","Video generation,Text-to-video,Image-to-video,Video-to-video,Image generation,Text-to-image,Visual question answering,Language modeling/generation,Question answering",9.903089986991944
Xunguang ,2024-10-21,Alibaba DAMO Academy,Video,"Video generation,Video editing",
Taiyi (旷视太乙),2024-10-21,Megvii Inc,"Multimodal,Language,Vision","Chat,Language modeling/generation,Question answering,Visual question answering,Image captioning,Face verification,Character recognition (OCR)",
Zhiyun Culture LLM (智云文化大模型) ,2024-10-21,"Xinhua Zhiyun Technology Co., Ltd.","Multimodal,Language","Transcription,Text summarization,Search,Video editing,Video classification,Image completion",
Allegro,2024-10-20,Rhymes AI,Video,"Video generation,Text-to-video",9.473486970064569
Depth Anything V2 Giant,2024-10-20,"Tik Tok,Hong Kong University",3D modeling,3D reconstruction,9.113943352306837
Depth Anything V2 Large,2024-10-20,"Tik Tok,Hong Kong University",3D modeling,3D reconstruction,8.52543355342882
Sonic,2024-10-19,Cartesia,Speech,"Text-to-speech (TTS),Speech synthesis",
Yi-Lightning,2024-10-18,01.AI,Language,Language modeling/generation,
TeleChat2-35B,2024-10-18,China Telecom,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation",10.544068044350276
Janus 1.3B,2024-10-17,"DeepSeek,The University of Hong Kong,Peking University","Language,Vision,Multimodal","Language modeling/generation,Question answering,Visual question answering",9.113943352306837
Belle-whisper-larger-v3-turbo-zh ,2024-10-16,KE Holdings Inc. (“Beike”),Speech,Speech recognition (ASR),
Ministral 3B,2024-10-16,Mistral AI,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",9.477121254719663
